GATE_GW_QQ: -318><-60><0><-70><0><
QQ_A01: -117><-90><0><-70><0><Scaggytown
QQ_A02: 60><-75><0><-70><0><Scaggytown
QQ_A03: 258><-81><0><-70><0><Scaggytown
QQ_S01: 411><-183><0><-76><0><
QQ_B01: 549><-25.5><0><-70><0><Scaggytown
QQ_YEEK: 471><297><0><-70><0><Yeek Gardens
QQ_A04: 411><-277.5><0><-70><0><Scaggytown
QQ_A05: 828><4.5><0><-70><0><Scaggytown
QQ_A06: 1035><-115.5><0><-70><0><Scaggytown
QQ_A07: 828><-172.5><0><-70><0><Scaggytown
QQ_A08: 471><160.5><0><-70><0><Scaggytown
QQ_A09: 633><-169.5><0><-70><0><Scaggytown
QQ_C01: 1332><-49.5><0><-70><0><Scaggytown
QQ_teeny: 1353><-190.5><0><-70><0><Scaggytown
QQ_layered: 1620><-40.5><0><-70><0><Scaggytown
QQ_spamtoing: 1890><-28.5><0><-70><0><Scaggytown
QQ_tower1: 1557><196.5><0><-150><0><Scaggytown
QQ_tower2: 1617><2206.5><0><-70><0><Scaggytown
QQ_tower3: 1791><2263.5><0><-70><0><Scaggytown
QQ_tower4: 2043><2137.5><0><-70><0><Scaggytown
QQ_tower5: 1803><454.5><0><-230><0><Scaggytown
QQ_tub: 1755><-403.5><0><-790><0><Scaggytown
QQ_tower6: 1554><2395.5><0><-150><0><Scaggytown
QQ_temple: 1881><2611.5><0><-70><0><Temple Of Jerry
QQ_apple: 1917><-180><0><-70><0><Scaggytown
QQ_tower7: 2136><2395.5><0><-150><0><Scaggytown
QQ_tower8: 2067><871.5><0><-1590><0><Scaggytown
QQ_S02: 2097><2236.5><0><-70><0><
GATE_QQ_LC: 2445><2400><0><-70><0><
QQ_deep1: 156><-399><0><-70><0><Deeptown
QQ_ohgodrun: 507><-393><0><-70><0><Scaggytown
QQ_deep2: -159><-396><0><-70><0><Deeptown
QQ_deep3: -60><-615><0><-150><0><Deeptown
QQ_deep4: -285><-726><0><-70><0><Deeptown
QQ_rubiconl: -441><-798><0><-70><0><Deeptown
QQ_s03: -279><-840><0><-70><0><
GATE_HR_QQ: -621><-789><0><-70><0><
qq_shocking: 1185><-186><0><-8><0><Scaggytown
QQ_echo: 1623><-511.5><0><-230><0><Scaggytown
QQ_hub: 996><-301.5><0><-70><0><Scaggytown
QQ_tubemoment: 663><-409.5><0><-70><0><Scaggytown
QQ_what: 219><-651><0><-70><0><Deeptown
QQ_Minecraft: 1119><-705><0><-70><0><Referencentral
QQ_UtterChaos: 822><-343.5><0><-70><0><Scaggytown
QQ_JANE: 1284><-390><0><-70><0><Scaggytown
QQ_familiar: 645><-879><0><-70><0><Referencentral
QQ_parkourciv: 1311><-945><0><-70><0><Referencentral
QQ_celeste: 990><-906><0><-70><0><Referencentral
QQ_haven: 1203><-279><0><-70><0><Scaggytown
QQ_oemk: 357><-519><0><-70><0><Deeptown
QQ_traaaaaain: 1155><-504><0><-70><0><Scaggytown
QQ_warhead: 927><796.5><0><-70><0><Scaggytown
QQ_Scughouse1: 1323><480><0><-70><0><The Airship
QQ_Scughouse2: 1410><366><0><-70><0><The Airship
QQ_Scughouse3: 1257><222><0><-230><0><The Airship
QQ_ScugS: 1563><387><0><-70><0><
QQ_scrungle: 1467><-501><0><-70><0><Scaggytown
QQ_omor: 849><-640.5><0><-70><0><Referencentral
OffScreenDen_QQ: -318><-192><0><-20><0><
QQ_plantzombie: 1284><-663><0><-70><0><Referencentral
QQ_horoscopicus: 1491><-834><0><-70><0><Referencentral
qq_megumin: 1311><-798><0><-70><0><Referencentral
Connection: GATE_GW_QQ,QQ_A01,35,8,1,18,0,2
Connection: QQ_A01,QQ_A02,46,21,3,16,0,2
Connection: QQ_A02,QQ_A03,44,16,3,16,0,2
Connection: QQ_A03,QQ_A08,18,31,8,6,3,3
Connection: QQ_A03,QQ_B01,45,17,4,12,0,2
Connection: QQ_A03,QQ_S01,35,7,18,20,0,2
Connection: QQ_A03,QQ_A04,22,3,11,32,2,1
Connection: QQ_B01,QQ_YEEK,28,28,8,13,1,3
Connection: QQ_B01,QQ_A05,98,17,3,2,0,3
Connection: QQ_B01,QQ_A09,95,14,21,19,3,1
